,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt
89,0xc59a1a2ed72eb7b31b8eaedab1f6f8d8c8881365,702231.56841265,629846.4324347,216197913669,9300,9000,1.0368803012811671,361.7783780038105,366.28135663840953,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,702365.3677646253,629966.4399170558,0.00019053451595428376,0.000418709328510644
91,0x21e9f6af91bd687a4856a7dbe4d7f59e9be275f2,661002.94736558,576357.05408313,1854559854589,9300,9000,1.0665831825861976,340.53805740207866,335.17510428952437,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,661128.8912422037,576466.8699929068,0.00019053451595880114,0.0004187093285078608
97,0x3fd49a8f37e2349a29ea701b56f10f03b08f1532,576661.59564325,492850.34134565,2614509473328,9300,9000,1.0881503753937767,297.08675330629603,286.6125492685093,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,576771.4695812401,492944.24634469865,0.00019053451594516093,0.0004187093284960326
100,0x6db544e2a4464762c4df0876389c5357fa7a3a93,525542.73790362,436066.13214765,3692233196561,9300,9000,1.1208271182245355,270.75114227665614,253.5902185707206,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,525642.8719347983,436149.21779513964,0.00019053451595154003,0.00041870932850404826
101,0x8727a83708925a5dbe7386214d146a76afefa263,514080.5229246,305320.31089432,15735215973782,9300,9000,1.565879731091202,264.8459939894411,177.55619770891906,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,514178.47300819703,305378.4849506239,0.00019053451595443083,0.00041870932851430687
104,0x96c30b75f139227d0cbafa936bd232d5bb9fb212,481271.5017542,341977.32914927,9116702242951,9300,9000,1.308807509973985,247.9433154474441,198.87374701191294,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,481363.20058682543,342042.4876326406,0.00019053451594613671,0.0004187093285098082
108,0xe4e1b89051a3e489a46caefcc5abb83bee36e9a0,401728.52495043,304277.80684291,5727786561248,9300,9000,1.2278500758248956,206.96405671843493,176.94993913763923,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,401805.0681004802,304335.782266208,0.00019053451596363777,0.00041870932849586925
110,0x38906e2250c46209eb0840fd92cab8f52145ee41,395611.78776917,308736.68930305,4731391968920,9300,9000,1.1916917404791751,203.81281237731963,179.54296091642615,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,395687.16546965926,308795.51429734816,0.00019053451595640598,0.00041870932852384725
111,0xbeed472990c91380c2d898d7436d66ef24a25265,394359.05959555,204387.84467729,15053530895871,9300,9000,1.7944018442140306,203.16742702707813,118.85985721854561,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,394434.1986080866,204426.78761544373,0.0001905345159654193,0.0004187093285167548
112,0x01500631c4de4c68584ee08eb4beda10030b2e55,391157.53727713,337327.05394347,1471472960595,9300,9000,1.0784089370095185,201.5180543648387,196.16942255533502,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,391232.06628916034,337391.32638892805,0.00019053451596290466,0.00041870932851700013
122,0x1b1b16150a0dc7b444daa671dd84cd070c5b5e0e,313701.01706242,260607.90249522,2172301286096,9300,9000,1.1194669964906419,161.61370441731265,151.55411090867338,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,313760.78793098486,260657.55729463155,0.0001905345067878639,0.00041870932852361084
125,0x52668e89cabe69265449b218966b1ac7584ba728,297178.10059245,240793.93322489,2666635730832,9300,9000,1.1477682591482004,153.10136434428506,140.03148067533783,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,297234.7232752729,240839.81277933824,0.00019053450678224962,0.0004187093284976297
140,0x9056b8d2befd8d4cea03fc8c8c35d548acc933bb,251754.61720723,208578.09303713,1800106244938,9300,9000,1.1225138296812458,129.69991832477945,121.29665732545489,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,251802.58515136054,208617.83436220617,0.00019053451596103135,0.0004187093285067494
